trade_id,entry_time,exit_time,direction,entry_price,sl,tp,exit_price,exit_reason,pnl_usd,pnl_r,balance,session,bb_high,bb_low,pnl_fixed,month,date
1,2024-10-30 16:32:00,2024-10-30 16:50:00,long,42200.3,42161.3,42278.3,42278.3,tp,100.0,2.0,10100.0,london,42196.3,42186.3,100.0,2024-10,2024-10-30
2,2024-11-01 16:32:00,2024-11-01 17:17:00,long,41976.73,41869.73,42190.73,42190.73,tp,100.0,2.0,10200.0,london,41972.73,41894.73,100.0,2024-11,2024-11-01
3,2024-11-12 13:02:00,2024-11-12 13:23:00,short,44299.93,44338.68,44222.43,44340.68,sl,-52.58,-1.052,10147.42,london,44313.68,44303.93,-52.6,2024-11,2024-11-12
4,2024-12-06 18:14:00,2024-12-06 18:18:00,long,44763.9,44727.9,44835.9,44725.9,sl,-52.78,-1.056,10094.64,london,44759.9,44752.9,-52.800000000000004,2024-12,2024-12-06
5,2024-12-20 20:06:00,2024-12-23 13:45:00,short,43035.24,43186.24,42733.24,42733.24,tp,100.0,2.0,10194.64,new_york,43161.24,43039.24,100.0,2024-12,2024-12-23
6,2024-12-24 16:07:00,2024-12-24 16:31:00,long,42846.43,42804.43,42930.43,42802.43,sl,-52.38,-1.048,10142.26,london,42842.43,42829.43,-52.400000000000006,2024-12,2024-12-24
7,2025-01-22 01:04:00,2025-01-22 10:30:00,short,43972.06,44022.31,43871.56,44024.31,sl,-51.99,-1.04,10090.27,asia,43997.31,43976.06,-52.0,2025-01,2025-01-22
8,2025-03-04 22:25:00,2025-03-04 22:29:00,short,43070.1,43118.1,42974.1,42974.1,tp,100.0,2.0,10190.27,new_york,43093.1,43074.1,100.0,2025-03,2025-03-04
9,2025-04-07 15:31:00,2025-04-07 15:45:00,short,37614.1,37771.8,37298.69999999999,37298.69999999999,tp,100.0,2.0,10290.27,london,37746.8,37618.1,100.0,2025-04,2025-04-07
10,2025-05-05 16:31:00,2025-05-05 17:00:00,long,41071.6,41005.4,41203.99999999999,41203.99999999999,tp,100.0,2.0,10390.27,london,41067.6,41030.4,100.0,2025-05,2025-05-05
11,2025-05-09 02:13:00,2025-05-09 03:36:00,short,41342.6,41412.0,41203.799999999996,41203.799999999996,tp,100.0,2.0,10490.27,asia,41387.0,41346.6,100.0,2025-05,2025-05-09
12,2025-05-12 06:21:00,2025-05-12 09:46:00,long,41645.4,41609.9,41716.4,41716.4,tp,100.0,2.0,10590.27,asia,41641.4,41634.9,100.0,2025-05,2025-05-12
13,2025-05-20 13:02:00,2025-05-20 16:47:00,long,42720.9,42658.1,42846.50000000001,42656.1,sl,-51.59,-1.032,10538.68,london,42716.9,42683.1,-51.6,2025-05,2025-05-20
14,2025-05-23 14:18:00,2025-05-23 14:24:00,short,41802.5,41856.2,41695.100000000006,41695.100000000006,tp,100.0,2.0,10638.68,london,41831.2,41806.5,100.0,2025-05,2025-05-23
15,2025-05-26 17:52:00,2025-05-27 10:41:00,long,41981.6,41902.8,42139.19999999999,42139.19999999999,tp,100.0,2.0,10738.68,london,41977.6,41927.8,100.0,2025-05,2025-05-27
16,2025-05-28 20:43:00,2025-05-28 21:52:00,long,42192.2,42128.4,42319.79999999999,42126.4,sl,-51.57,-1.031,10687.11,new_york,42188.2,42153.4,-51.55,2025-05,2025-05-28
17,2025-06-30 22:29:00,2025-06-30 22:50:00,short,44051.0,44096.0,43961.0,44098.0,sl,-52.22,-1.044,10634.89,new_york,44071.0,44055.0,-52.2,2025-06,2025-06-30
18,2025-07-01 16:30:00,2025-07-01 16:44:00,long,44036.0,43977.0,44154.0,44154.0,tp,100.0,2.0,10734.89,london,44032.0,44002.0,100.0,2025-07,2025-07-01
19,2025-07-11 09:00:00,2025-07-11 10:46:00,long,44463.6,44415.6,44559.6,44413.6,sl,-52.08,-1.042,10682.81,asia,44459.6,44440.6,-52.1,2025-07,2025-07-11
20,2025-07-11 17:06:00,2025-07-11 19:06:00,short,44387.1,44445.6,44270.1,44270.1,tp,100.0,2.0,10782.81,london,44420.6,44391.1,100.0,2025-07,2025-07-11
21,2025-07-25 07:45:00,2025-07-25 09:51:00,long,44801.8,44763.8,44877.8,44761.8,sl,-52.63,-1.053,10730.18,asia,44797.8,44788.8,-52.65,2025-07,2025-07-25
22,2025-08-05 06:57:00,2025-08-05 17:05:00,short,44227.7,44312.7,44057.7,44057.7,tp,100.0,2.0,10830.18,asia,44287.7,44231.7,100.0,2025-08,2025-08-05
23,2025-08-08 15:22:00,2025-08-08 16:30:00,long,44031.2,43992.2,44109.2,44109.2,tp,100.0,2.0,10930.18,london,44027.2,44017.2,100.0,2025-08,2025-08-08
24,2025-09-12 16:44:00,2025-09-12 17:41:00,short,46025.7,46074.2,45928.7,45928.7,tp,100.0,2.0,11030.18,london,46049.2,46029.7,100.0,2025-09,2025-09-12
25,2025-10-13 14:04:00,2025-10-13 14:08:00,short,45922.1,45969.1,45828.1,45828.1,tp,100.0,2.0,11130.18,london,45944.1,45926.1,100.0,2025-10,2025-10-13
26,2025-11-21 17:26:00,2025-11-21 17:36:00,short,46041.8,46115.8,45893.8,45893.8,tp,100.0,2.0,11230.18,london,46090.8,46045.8,100.0,2025-11,2025-11-21
27,2025-11-25 01:35:00,2025-11-25 16:29:00,short,46422.2,46541.7,46183.2,46543.7,sl,-50.84,-1.017,11179.34,asia,46516.7,46426.2,-50.849999999999994,2025-11,2025-11-25
28,2025-11-26 01:48:00,2025-11-26 16:34:00,long,47148.0,47076.0,47292.0,47292.0,tp,100.0,2.0,11279.34,asia,47144.0,47101.0,100.0,2025-11,2025-11-26
29,2025-12-05 13:02:00,2025-12-05 13:30:00,long,47852.1,47812.6,47931.1,47931.1,tp,100.0,2.0,11379.34,london,47848.1,47837.6,100.0,2025-12,2025-12-05
30,2025-12-15 19:46:00,2025-12-16 15:31:00,short,48392.8,48509.8,48158.8,48511.8,sl,-50.85,-1.017,11328.49,new_york,48484.8,48396.8,-50.849999999999994,2025-12,2025-12-16
31,2026-01-07 16:33:00,2026-01-07 16:36:00,short,49491.6,49530.6,49413.6,49532.6,sl,-52.56,-1.051,11275.93,london,49505.6,49495.6,-52.55,2026-01,2026-01-07
32,2026-01-27 12:57:00,2026-01-27 13:53:00,short,49359.9,49403.9,49271.9,49271.9,tp,100.0,2.0,11375.93,london,49378.9,49363.9,100.0,2026-01,2026-01-27
33,2026-02-02 15:43:00,2026-02-02 16:30:00,long,48875.2,48819.7,48986.2,48817.7,sl,-51.8,-1.036,11324.13,london,48871.2,48844.7,-51.800000000000004,2026-02,2026-02-02
34,2026-02-03 06:12:00,2026-02-03 10:25:00,short,49434.7,49477.7,49348.7,49479.7,sl,-52.33,-1.047,11271.8,asia,49452.7,49438.7,-52.349999999999994,2026-02,2026-02-03
35,2026-03-20 03:02:00,2026-03-20 04:33:00,short,46134.0,46180.5,46041.0,46182.5,sl,-52.15,-1.043,11219.65,asia,46155.5,46138.0,-52.15,2026-03,2026-03-20
36,2026-03-25 05:45:00,2026-03-25 11:03:00,long,46443.0,46383.5,46562.0,46562.0,tp,100.0,2.0,11319.65,asia,46439.0,46408.5,100.0,2026-03,2026-03-25
