entry_time,exit_time,instrument,direction,signal_type,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl_points,pnl_usd,pnl_pct,rr_planned,rr_actual,zone_touches,sl_miss_points
2024-05-01 13:30:00,2024-05-01 19:30:00,US30,LONG,pin_bar,37877.0390625,37887.0390625,38434.96875,37887.0390625,sl_hit,10.0,0.0,0.0,2.0462457557914644,0.0,3,0
2024-05-14 16:30:00,2024-05-14 18:30:00,US30,SHORT,false_breakout_b1,39390.69921875,39571.3515625,38072.08984375,39571.3515625,sl_hit,-180.65234375,-500.0,-0.4586167479454372,7.29915453975393,-1.0,4,0
2024-05-20 15:30:00,2024-05-30 13:30:00,US30,SHORT,false_breakout_b1,39996.73828125,39986.73828125,38072.08984375,38072.08984375,tp_hit,1924.6484375,0.0,0.0,9.420120832058734,0.0,2,0
2024-05-22 14:30:00,2024-05-30 13:30:00,US30,SHORT,false_breakout_b1,39823.53125,39813.53125,38072.08984375,38072.08984375,tp_hit,1751.44140625,0.0,0.0,8.979052768599178,0.0,5,0
2024-05-22 17:30:00,2024-05-30 13:30:00,US30,SHORT,false_breakout_b1,39577.3203125,39567.3203125,38072.08984375,38072.08984375,tp_hit,1505.23046875,0.0,0.0,6.839770669885335,0.0,3,0
2024-06-04 14:30:00,2024-06-04 17:30:00,US30,SHORT,false_breakout_b1,38546.0703125,38711.5,38072.08984375,38711.5,sl_hit,-165.4296875,-500.0,-0.4291739369508525,2.8651475796930344,-1.0,5,0
2024-06-14 15:30:00,2024-06-17 17:30:00,US30,SHORT,pin_bar,38516.421875,38711.5,38072.08984375,38711.5,sl_hit,-195.078125,-500.0,-0.5064803933062643,2.2777132559070883,-1.0,8,0
2024-06-21 14:30:00,2024-06-24 13:30:00,US30,SHORT,false_breakout_b1,39109.66015625,39270.26171875,38072.08984375,39270.26171875,sl_hit,-160.6015625,-500.0,-0.4106442292220602,6.460524395583013,-1.0,5,0
2024-06-24 16:30:00,2024-06-28 13:30:00,US30,SHORT,false_breakout_b1,39417.94140625,39407.94140625,38072.08984375,39407.94140625,sl_hit,10.0,0.0,0.0,8.77289741043465,0.0,6,0
2024-06-25 15:30:00,2024-06-28 13:30:00,US30,SHORT,false_breakout_b1,39067.80859375,39270.26171875,38072.08984375,39270.26171875,sl_hit,-202.453125,-500.0,-0.5182095753187143,4.918268117619819,-1.0,5,0
2024-06-27 14:30:00,2024-07-08 13:30:00,US30,SHORT,pin_bar,39186.98828125,39571.3515625,38072.08984375,39571.3515625,sl_hit,-384.36328125,-500.0,-0.9808441477854226,2.900637214549224,-1.0,7,0
2024-06-28 17:30:00,2024-07-01 13:30:00,US30,SHORT,false_breakout_b1,39056.1484375,39270.26171875,38072.08984375,39270.26171875,sl_hit,-214.11328125,-500.0,-0.5482191404322343,4.5959717585244375,-1.0,7,0
2024-07-01 18:30:00,2024-07-02 17:30:00,US30,SHORT,false_breakout_b1,39095.3203125,39270.26171875,38072.08984375,39270.26171875,sl_hit,-174.94140625,-500.0,-0.4474740323180464,5.848989617059283,-1.0,7,0
2024-07-03 13:30:00,2024-07-08 13:30:00,US30,SHORT,pin_bar,39333.421875,39593.6015625,38072.08984375,39593.6015625,sl_hit,-260.1796875,-500.0,-0.6614722927662902,4.8479266132180285,-1.0,4,0
2024-07-10 13:30:00,2024-07-10 19:30:00,US30,SHORT,pin_bar,39264.19140625,39593.6015625,38072.08984375,39593.6015625,sl_hit,-329.41015625,-500.0,-0.8389582070893357,3.618897413701099,-1.0,5,0
2024-07-11 18:30:00,2024-07-12 14:30:00,US30,SHORT,pin_bar,39736.7109375,40018.58984375,38072.08984375,40018.58984375,sl_hit,-281.87890625,-500.0,-0.7093664764890936,5.9054475409154525,-1.0,6,0
2024-07-12 19:30:00,2024-07-15 13:30:00,US30,SHORT,false_breakout_b1,40013.76953125,40227.3984375,38072.08984375,40227.3984375,sl_hit,-213.62890625,-500.0,-0.5338884807719999,9.089030700872204,-1.0,4,0
2024-07-24 13:30:00,2024-07-25 15:30:00,US30,SHORT,false_breakout_b1,40016.73046875,40227.3984375,38072.08984375,40227.3984375,sl_hit,-210.66796875,-500.0,-0.5264497281068865,9.230831989023011,-1.0,5,0
2024-07-25 19:30:00,2024-07-26 13:30:00,US30,SHORT,false_breakout_b1,39940.1015625,40227.3984375,38072.08984375,40227.3984375,sl_hit,-287.296875,-500.0,-0.7193193401134081,6.50202588785555,-1.0,5,0
2024-08-02 13:30:00,2024-08-09 17:30:00,US30,SHORT,false_breakout_b1,39621.5390625,39611.5390625,38072.08984375,39611.5390625,sl_hit,10.0,0.0,0.0,3.9023955925033205,0.0,8,0
2024-08-02 14:30:00,2024-08-02 15:30:00,US30,SHORT,false_breakout_b1,39393.25,39593.6015625,38072.08984375,39593.6015625,sl_hit,-200.3515625,-500.0,-0.5085936359655525,6.594209397543381,-1.0,6,0
2024-08-06 19:30:00,2024-08-07 13:30:00,US30,SHORT,false_breakout_b1,38982.94140625,39270.26171875,38408.30078125,39270.26171875,sl_hit,-287.3203125,-500.0,-0.7370411316728781,2.0,-1.0,9,0
2024-08-07 13:30:00,2024-08-08 13:30:00,US30,SHORT,pin_bar,39309.55078125,39299.55078125,38318.73046875,39299.55078125,sl_hit,10.0,0.0,0.0,2.0,0.0,6,0
2024-08-07 16:30:00,2024-08-08 13:30:00,US30,SHORT,false_breakout_b1,39002.33984375,38992.33984375,38466.49609375,38992.33984375,sl_hit,10.0,0.0,0.0,2.0,0.0,10,0
2024-08-09 17:30:00,2024-08-12 14:30:00,US30,SHORT,false_breakout_b1,39426.87109375,39416.87109375,39093.41015625,39416.87109375,sl_hit,10.0,0.0,0.0,2.0,0.0,8,0
2024-08-12 18:30:00,2024-08-13 13:30:00,US30,SHORT,pin_bar,39325.390625,39593.6015625,38788.96875,39593.6015625,sl_hit,-268.2109375,-500.0,-0.6820299385138021,2.0,-1.0,8,0
2024-08-14 15:30:00,2024-08-15 13:30:00,US30,SHORT,pin_bar,39910.9296875,40227.3984375,39277.9921875,40227.3984375,sl_hit,-316.46875,-500.0,-0.7929375548951875,2.0,-1.0,7,0
2024-09-03 13:30:00,2024-09-04 14:30:00,US30,SHORT,false_breakout_b1,41103.01171875,41093.01171875,40611.77734375,41093.01171875,sl_hit,10.0,0.0,0.0,2.0,0.0,7,0
2024-09-10 15:30:00,2024-09-10 17:30:00,US30,SHORT,false_breakout_b1,40473.1015625,40677.890625,40063.5234375,40677.890625,sl_hit,-204.7890625,-500.0,-0.5059880626735697,2.0,-1.0,7,0
2024-09-11 13:30:00,2024-09-11 15:30:00,US30,SHORT,false_breakout_b1,40026.28125,40227.3984375,39624.046875,40227.3984375,sl_hit,-201.1171875,-500.0,-0.5024628349654641,2.0,-1.0,8,0
2024-10-28 17:30:00,2024-11-06 14:30:00,US30,SHORT,pin_bar,42416.421875,42406.421875,40407.078125,42406.421875,sl_hit,10.0,0.0,0.0,5.552231073117026,0.0,7,0
2024-10-29 19:30:00,2024-10-30 15:30:00,US30,SHORT,false_breakout_b1,42248.421875,42449.640625,40407.078125,42449.640625,sl_hit,-201.21875,-500.0,-0.4762751863142817,9.150955117254233,-1.0,7,0
2024-10-31 15:30:00,2024-11-01 13:30:00,US30,LONG,false_breakout_b1,41870.21875,41697.80859375,42215.0390625,42215.0390625,tp_hit,344.8203125,1000.0,0.8235455242277663,2.0,2.0,7,0
2024-11-01 15:30:00,2024-11-05 16:30:00,US30,SHORT,false_breakout_b1,42193.1484375,42183.1484375,40407.078125,42183.1484375,sl_hit,10.0,0.0,0.0,6.963449179129482,0.0,8,0
2024-11-01 16:30:00,2024-11-04 16:30:00,US30,LONG,pin_bar,42205.1796875,41697.80859375,43219.921875,41697.80859375,sl_hit,-507.37109375,-500.0,-1.20215361599389,2.0,-1.0,8,0
2024-11-05 14:30:00,2024-11-06 14:30:00,US30,LONG,false_breakout_b1,42077.19921875,41697.80859375,42835.98046875,42835.98046875,tp_hit,758.78125,1000.0,1.803307406596302,2.0,2.0,9,0
2024-11-05 17:30:00,2024-11-06 14:30:00,US30,SHORT,pin_bar,42155.3515625,42449.640625,40407.078125,42449.640625,sl_hit,-294.2890625,-500.0,-0.6981060567450936,5.940667392285434,-1.0,9,0
2024-12-23 16:30:00,2024-12-30 14:30:00,US30,LONG,false_breakout_b1,42747.5,42757.5,44806.26171875,42757.5,sl_hit,10.0,0.0,0.0,10.03642907470531,0.0,7,0
2024-12-24 14:30:00,2024-12-27 14:30:00,US30,LONG,false_breakout_b1,43035.98046875,43045.98046875,44806.26171875,43045.98046875,sl_hit,10.0,0.0,0.0,7.163958267467594,0.0,5,0
2024-12-26 17:30:00,2024-12-27 16:30:00,US30,LONG,pin_bar,43342.0390625,42788.87109375,44806.26171875,42788.87109375,sl_hit,-553.16796875,-500.0,-1.2762850588370378,2.6469765766783655,-1.0,5,0
2024-12-27 18:30:00,2024-12-30 14:30:00,US30,LONG,false_breakout_b1,42979.6796875,42788.87109375,43361.296875,42788.87109375,sl_hit,-190.80859375,-500.0,-0.4439507114463066,2.0,-1.0,6,0
2025-01-02 17:30:00,2025-01-02 20:30:00,US30,SHORT,false_breakout_b1,42286.21875,42449.640625,41959.375,42449.640625,sl_hit,-163.421875,-500.0,-0.38646603983715144,2.0,-1.0,13,0
2025-01-03 17:30:00,2025-01-06 16:30:00,US30,LONG,false_breakout_b1,42716.28125,42726.28125,43064.1015625,43064.1015625,tp_hit,347.8203125,0.0,0.0,2.0,0.0,11,0
2025-01-06 14:30:00,2025-01-06 18:30:00,US30,LONG,false_breakout_b1,42996.76171875,42788.87109375,43412.54296875,42788.87109375,sl_hit,-207.890625,-500.0,-0.483502981828846,2.0,-1.0,7,0
2025-01-06 16:30:00,2025-01-10 14:30:00,US30,SHORT,pin_bar,43021.3984375,43011.3984375,42145.83984375,42145.83984375,tp_hit,875.55859375,0.0,0.0,2.5405549384535173,0.0,8,0
2025-01-10 14:30:00,2025-01-14 14:30:00,US30,SHORT,false_breakout_b1,42094.41015625,42449.640625,41383.94921875,42449.640625,sl_hit,-355.23046875,-500.0,-0.8438898833156756,2.0,-1.0,14,0
2025-01-15 14:30:00,2025-01-28 14:30:00,US30,LONG,false_breakout_b1,43204.76171875,43214.76171875,44806.26171875,44806.26171875,tp_hit,1601.5,0.0,0.0,3.8507720629672764,0.0,8,0
2025-01-15 20:30:00,2025-01-17 14:30:00,US30,SHORT,false_breakout_b1,43213.921875,43366.03125,42145.83984375,43366.03125,sl_hit,-152.109375,-500.0,-0.35199159992927626,7.021802773497689,-1.0,10,0
2025-01-21 15:30:00,2025-01-23 15:30:00,US30,LONG,false_breakout_b1,43910.98828125,43920.98828125,44373.00390625,44373.00390625,tp_hit,462.015625,0.0,0.0,2.0,0.0,6,0
2025-01-28 20:30:00,2025-02-03 14:30:00,US30,SHORT,pin_bar,44847.859375,44837.859375,44106.609375,44106.609375,tp_hit,741.25,0.0,0.0,2.4287414726549,0.0,7,0
2025-02-21 18:30:00,2025-02-24 14:30:00,US30,SHORT,false_breakout_b1,43369.19921875,43523.98046875,43059.63671875,43523.98046875,sl_hit,-154.78125,-500.0,-0.356892109580577,2.0,-1.0,5,0
2025-02-27 19:30:00,2025-02-28 15:30:00,US30,SHORT,false_breakout_b1,43257.80078125,43523.98046875,42725.44140625,43523.98046875,sl_hit,-266.1796875,-500.0,-0.6153333796279699,2.0,-1.0,7,0
2025-02-28 15:30:00,2025-02-28 19:30:00,US30,SHORT,false_breakout_b1,43361.3984375,43351.3984375,43036.234375,43351.3984375,sl_hit,10.0,0.0,0.0,2.0,0.0,7,0
2025-02-28 17:30:00,2025-02-28 19:30:00,US30,SHORT,false_breakout_b1,43221.98046875,43523.98046875,42617.98046875,43523.98046875,sl_hit,-302.0,-500.0,-0.6987185610764634,2.0,-1.0,7,0
2025-03-03 19:30:00,2025-03-04 19:30:00,US30,SHORT,false_breakout_b1,42999.62890625,42989.62890625,42266.82421875,42989.62890625,sl_hit,10.0,0.0,0.0,2.0,0.0,10,0
2025-03-04 14:30:00,2025-03-04 19:30:00,US30,SHORT,false_breakout_b1,42561.6484375,43055.08984375,41574.765625,43055.08984375,sl_hit,-493.44140625,-500.0,-1.1593568960906158,2.0,-1.0,6,0
2025-03-04 20:30:00,2025-03-05 18:30:00,US30,SHORT,false_breakout_b1,42515.859375,43055.08984375,41437.3984375,43055.08984375,sl_hit,-539.23046875,-500.0,-1.2683042908620497,2.0,-1.0,6,0
2025-03-06 16:30:00,2025-03-11 14:30:00,US30,SHORT,false_breakout_b1,42495.890625,42485.890625,41377.4921875,41377.4921875,tp_hit,1118.3984375,0.0,0.0,2.0,0.0,7,0
2025-03-24 19:30:00,2025-03-28 16:30:00,US30,SHORT,pin_bar,42568.2890625,42558.2890625,41594.6875,41594.6875,tp_hit,973.6015625,0.0,0.0,2.0,0.0,9,0
2025-04-01 16:30:00,2025-04-02 14:30:00,US30,SHORT,false_breakout_b1,41891.21875,42163.1015625,41347.453125,42163.1015625,sl_hit,-271.8828125,-500.0,-0.6490210135029791,2.0,-1.0,5,0
2025-04-02 17:30:00,2025-04-02 19:30:00,US30,SHORT,false_breakout_b1,41975.4296875,42163.1015625,41600.0859375,42163.1015625,sl_hit,-187.671875,-500.0,-0.4470993540678094,2.0,-1.0,5,0
2025-05-01 19:30:00,2025-05-02 13:30:00,US30,SHORT,false_breakout_b1,40742.96875,40941.1796875,40346.546875,40941.1796875,sl_hit,-198.2109375,-500.0,-0.48649115069701443,2.0,-1.0,4,0
2025-05-08 16:30:00,2025-05-12 13:30:00,US30,SHORT,pin_bar,41689.55859375,41679.55859375,40742.47265625,41679.55859375,sl_hit,10.0,0.0,0.0,2.0,0.0,6,0
2025-05-21 16:30:00,2025-05-27 13:30:00,US30,SHORT,false_breakout_b1,41880.2109375,41870.2109375,41314.4296875,41870.2109375,sl_hit,10.0,0.0,0.0,2.0,0.0,8,0
2025-05-23 15:30:00,2025-07-01 15:30:00,US30,LONG,pin_bar,41596.76171875,41606.76171875,44543.3203125,44543.3203125,tp_hit,2946.55859375,0.0,0.0,9.416863288516035,0.0,8,0
2025-05-23 17:30:00,2025-05-27 14:30:00,US30,SHORT,pin_bar,41721.1796875,42163.1015625,40837.3359375,42163.1015625,sl_hit,-441.921875,-500.0,-1.0592267004674447,2.0,-1.0,8,0
2025-05-29 13:30:00,2025-06-13 17:30:00,US30,LONG,pin_bar,42159.91015625,42169.91015625,44601.9609375,42169.91015625,sl_hit,10.0,0.0,0.0,4.590927783571019,0.0,5,0
2025-05-30 15:30:00,2025-05-30 17:30:00,US30,SHORT,false_breakout_b1,41996.171875,42163.1015625,41662.3125,42163.1015625,sl_hit,-166.9296875,-500.0,-0.3974878662675728,2.0,-1.0,10,0
2025-07-18 14:30:00,2025-07-23 17:30:00,US30,LONG,pin_bar,44326.2109375,44336.2109375,44957.9921875,44957.9921875,tp_hit,631.78125,0.0,0.0,2.0,0.0,5,0
2025-08-06 14:30:00,2025-08-07 14:30:00,US30,LONG,false_breakout_b1,44242.01953125,44252.01953125,44705.41796875,44252.01953125,sl_hit,10.0,0.0,0.0,2.0,0.0,8,0
2025-08-08 13:30:00,2025-08-11 14:30:00,US30,LONG,false_breakout_b1,44200.75,44010.3203125,44581.609375,44010.3203125,sl_hit,-190.4296875,-500.0,-0.4308290866105213,2.0,-1.0,9,0
2025-08-12 13:30:00,2025-08-15 13:30:00,US30,LONG,false_breakout_b1,44403.1015625,44413.1015625,45188.6640625,45188.6640625,tp_hit,785.5625,0.0,0.0,2.0,0.0,10,0
2025-08-12 14:30:00,2025-08-13 13:30:00,US30,SHORT,pin_bar,44402.66015625,44654.26953125,42219.94140625,44654.26953125,sl_hit,-251.609375,-500.0,-0.5666538313574083,8.675029497609142,-1.0,9,0
2025-08-21 14:30:00,2025-08-22 13:30:00,US30,LONG,pin_bar,44838.76171875,44500.58984375,45515.10546875,45515.10546875,tp_hit,676.34375,1000.0,1.5083907852816032,2.0,2.0,5,0
2025-10-17 15:30:00,2025-10-20 14:30:00,US30,LONG,false_breakout_b1,46170.5390625,46180.5390625,46604.8359375,46604.8359375,tp_hit,434.296875,0.0,0.0,2.0,0.0,6,0
2025-10-22 19:30:00,2025-10-24 13:30:00,US30,SHORT,pin_bar,46592.76953125,46864.26953125,44848.66015625,46864.26953125,sl_hit,-271.5,-500.0,-0.5827084389518927,6.423975598526703,-1.0,10,0
2025-11-07 15:30:00,2025-11-07 19:30:00,US30,SHORT,false_breakout_b1,46594.640625,46864.26953125,44434.6015625,46864.26953125,sl_hit,-269.62890625,-500.0,-0.5786693547440576,8.011155378486055,-1.0,11,0
2025-11-10 15:30:00,2025-11-10 17:30:00,US30,SHORT,false_breakout_b1,46957.6484375,47199.640625,46402.609375,47199.640625,sl_hit,-241.9921875,-500.0,-0.5153413672792588,2.2936238902340595,-1.0,8,0
2025-11-17 18:30:00,2025-11-20 14:30:00,US30,SHORT,false_breakout_b1,46707.91015625,46697.91015625,44848.66015625,46697.91015625,sl_hit,10.0,0.0,0.0,11.89087638652943,0.0,12,0
2025-11-19 19:30:00,2025-11-20 14:30:00,US30,LONG,false_breakout_b1,46151.76953125,45953.390625,46726.28125,46726.28125,tp_hit,574.51171875,1448.0161464999508,1.2448313999336258,2.8960322929999016,2.8960322929999016,10,0
2025-11-20 15:30:00,2025-11-21 16:30:00,US30,SHORT,false_breakout_b1,46445.28125,46435.28125,44848.66015625,46435.28125,sl_hit,10.0,0.0,0.0,3.8106581143192773,0.0,13,0
2025-11-21 18:30:00,2025-11-21 19:30:00,US30,LONG,false_breakout_b1,46536.58984375,46311.51953125,46986.73046875,46311.51953125,sl_hit,-225.0703125,-500.0,-0.4836416103021085,2.0,-1.0,6,0
2025-11-24 20:30:00,2025-11-25 16:30:00,US30,SHORT,pin_bar,46446.94921875,46864.26953125,44848.66015625,46864.26953125,sl_hit,-417.3203125,-500.0,-0.8984881020593135,3.829885616938428,-1.0,15,0
2025-11-25 16:30:00,2025-11-26 16:30:00,US30,LONG,false_breakout_b1,46980.859375,46990.859375,47516.4765625,47516.4765625,tp_hit,535.6171875,0.0,0.0,2.0,0.0,4,0
2025-12-17 16:30:00,2025-12-24 14:30:00,US30,SHORT,pin_bar,48021.6484375,48581.5703125,46798.75,48581.5703125,sl_hit,-559.921875,-500.0,-1.1659780395267694,2.1840519045625784,-1.0,7,0
2025-12-29 16:30:00,2026-01-02 19:30:00,US30,SHORT,false_breakout_b1,48408.671875,48398.671875,46798.75,48398.671875,sl_hit,10.0,0.0,0.0,9.311373186932357,0.0,10,0
2025-12-31 18:30:00,2026-01-02 15:30:00,US30,SHORT,pin_bar,48238.1796875,48228.1796875,46798.75,48228.1796875,sl_hit,10.0,0.0,0.0,4.191814169358875,0.0,11,0
2025-12-31 19:30:00,2026-01-02 15:30:00,US30,SHORT,false_breakout_b1,48108.140625,48098.140625,46798.75,48098.140625,sl_hit,10.0,0.0,0.0,7.465235401541134,0.0,8,0
2026-01-21 18:30:00,2026-01-21 20:30:00,US30,LONG,false_breakout_b1,49058.12109375,49068.12109375,49512.80078125,49068.12109375,sl_hit,10.0,0.0,0.0,2.3102175293744045,0.0,5,0
2026-01-21 20:30:00,2026-01-23 14:30:00,US30,LONG,pin_bar,49077.3515625,49087.3515625,49828.09375,49087.3515625,sl_hit,10.0,0.0,0.0,2.0,0.0,5,0
2026-02-12 15:30:00,2026-02-12 18:30:00,US30,SHORT,false_breakout_b1,49618.03125,49608.03125,49153.21875,49608.03125,sl_hit,10.0,0.0,0.0,2.5111744222855332,0.0,8,0
2026-02-23 18:30:00,2026-02-24 14:30:00,US30,SHORT,false_breakout_b1,48775.05078125,48932.0,47334.7109375,48932.0,sl_hit,-156.94921875,-500.0,-0.32178176390609536,9.177107444187262,-1.0,6,0
2026-02-27 16:30:00,2026-02-27 19:30:00,US30,SHORT,false_breakout_b1,48735.83984375,48932.0,48343.51953125,48932.0,sl_hit,-196.16015625,-500.0,-0.4024967187985292,2.0,-1.0,7,0
2026-03-02 16:30:00,2026-03-03 14:30:00,US30,LONG,false_breakout_b1,48911.3203125,48701.98046875,49338.21875,48701.98046875,sl_hit,-209.33984375,-500.0,-0.4279987585951552,2.039260323561792,-1.0,18,0
2026-03-03 14:30:00,2026-03-03 15:30:00,US30,SHORT,false_breakout_b1,47654.53125,47900.76953125,47162.0546875,47900.76953125,sl_hit,-246.23828125,-500.0,-0.5167153569472998,2.0,-1.0,6,0
2026-03-04 16:30:00,2026-03-05 15:30:00,US30,SHORT,pin_bar,48779.98828125,48769.98828125,47910.62109375,47910.62109375,tp_hit,869.3671875,0.0,0.0,2.0,0.0,3,0
2026-03-04 20:30:00,2026-03-05 14:30:00,US30,SHORT,false_breakout_b1,48733.8515625,48932.0,48337.5546875,48337.5546875,tp_hit,396.296875,1000.0,0.8131860345406081,2.0,2.0,8,0
2026-03-05 14:30:00,2026-03-05 16:30:00,US30,SHORT,false_breakout_b1,48124.26953125,48114.26953125,47805.73046875,47805.73046875,tp_hit,318.5390625,0.0,0.0,2.0,0.0,10,0
2026-03-05 15:30:00,2026-03-06 14:30:00,US30,SHORT,false_breakout_b1,47905.171875,48283.5390625,47148.4375,47148.4375,tp_hit,756.734375,1000.0,1.579650683593336,2.0,2.0,10,0
